Location,Price,Type of House,Bedrooms,Toilets,Total Floors,Land Area
"Quận 1, TP.HCM",8.5 tỷ,Nhà mặt tiền,3,2,4,80 m²
"Quận 3, TP.HCM",12 tỷ,Nhà mặt tiền,4,3,5,120 m²
"Quận 7, TP.HCM",6.2 tỷ,Nhà phố,2,2,3,65 m²
"Quận Bình Thạnh, TP.HCM",9 tỷ,Nhà mặt tiền,3,2,4,90 m²
"Quận 10, TP.HCM",7.5 tỷ,Nhà phố,3,2,3,75 m²
"Quận 2, TP.HCM",15 tỷ,Biệt thự,5,4,3,200 m²
"Quận Tân Bình, TP.HCM",5.8 tỷ,Nhà phố,2,1,2,55 m²
"Quận Phú Nhuận, TP.HCM",10.5 tỷ,Nhà mặt tiền,4,3,4,100 m²
"Quận 5, TP.HCM",6.8 tỷ,Nhà phố,3,2,3,70 m²
"Quận 11, TP.HCM",5.2 tỷ,Nhà phố,2,2,2,60 m²
"Quận Gò Vấp, TP.HCM",4.5 tỷ,Nhà phố,2,1,2,50 m²
"Quận Thủ Đức, TP.HCM",8.2 tỷ,Nhà mặt tiền,3,2,4,85 m²
"Quận 4, TP.HCM",7.2 tỷ,Nhà phố,3,2,3,68 m²
"Quận 6, TP.HCM",6.5 tỷ,Nhà phố,2,2,3,62 m²
"Quận 8, TP.HCM",5.5 tỷ,Nhà phố,2,1,2,58 m²
"Quận 9, TP.HCM",11 tỷ,Biệt thự,4,3,2,180 m²
"Quận 12, TP.HCM",4.8 tỷ,Nhà phố,2,2,2,55 m²
"Quận Tân Phú, TP.HCM",6.9 tỷ,Nhà phố,3,2,3,72 m²
"Huyện Bình Chánh, TP.HCM",3.5 tỷ,Nhà phố,2,1,2,50 m²
"Huyện Củ Chi, TP.HCM",2.8 tỷ,Nhà phố,2,1,1,45 m²
